대여소번호,대여소명,요일유형,대여시간,이용건수
102,102. 망원역 1번출구 앞,주말,0,231
102,102. 망원역 1번출구 앞,주말,1,265
102,102. 망원역 1번출구 앞,주말,2,174
102,102. 망원역 1번출구 앞,주말,3,114
102,102. 망원역 1번출구 앞,주말,4,158
102,102. 망원역 1번출구 앞,주말,5,82
102,102. 망원역 1번출구 앞,주말,6,141
102,102. 망원역 1번출구 앞,주말,7,112
102,102. 망원역 1번출구 앞,주말,8,300
102,102. 망원역 1번출구 앞,주말,9,374
102,102. 망원역 1번출구 앞,주말,10,388
102,102. 망원역 1번출구 앞,주말,11,452
102,102. 망원역 1번출구 앞,주말,12,508
102,102. 망원역 1번출구 앞,주말,13,665
102,102. 망원역 1번출구 앞,주말,14,732
102,102. 망원역 1번출구 앞,주말,15,770
102,102. 망원역 1번출구 앞,주말,16,886
102,102. 망원역 1번출구 앞,주말,17,879
102,102. 망원역 1번출구 앞,주말,18,808
102,102. 망원역 1번출구 앞,주말,19,775
102,102. 망원역 1번출구 앞,주말,20,606
102,102. 망원역 1번출구 앞,주말,21,504
102,102. 망원역 1번출구 앞,주말,22,420
102,102. 망원역 1번출구 앞,주말,23,290
102,102. 망원역 1번출구 앞,평일,0,533
102,102. 망원역 1번출구 앞,평일,1,378
102,102. 망원역 1번출구 앞,평일,2,290
102,102. 망원역 1번출구 앞,평일,3,204
102,102. 망원역 1번출구 앞,평일,4,240
102,102. 망원역 1번출구 앞,평일,5,170
102,102. 망원역 1번출구 앞,평일,6,421
102,102. 망원역 1번출구 앞,평일,7,542
102,102. 망원역 1번출구 앞,평일,8,1977
102,102. 망원역 1번출구 앞,평일,9,1595
102,102. 망원역 1번출구 앞,평일,10,1204
102,102. 망원역 1번출구 앞,평일,11,1200
102,102. 망원역 1번출구 앞,평일,12,1204
102,102. 망원역 1번출구 앞,평일,13,1461
102,102. 망원역 1번출구 앞,평일,14,1357
102,102. 망원역 1번출구 앞,평일,15,1303
102,102. 망원역 1번출구 앞,평일,16,1610
102,102. 망원역 1번출구 앞,평일,17,1873
102,102. 망원역 1번출구 앞,평일,18,2627
102,102. 망원역 1번출구 앞,평일,19,2242
102,102. 망원역 1번출구 앞,평일,20,1572
102,102. 망원역 1번출구 앞,평일,21,1399
102,102. 망원역 1번출구 앞,평일,22,1141
102,102. 망원역 1번출구 앞,평일,23,753
103,103. 망원역 2번출구 앞,주말,0,335
103,103. 망원역 2번출구 앞,주말,1,354
103,103. 망원역 2번출구 앞,주말,2,157
103,103. 망원역 2번출구 앞,주말,3,140
103,103. 망원역 2번출구 앞,주말,4,73
103,103. 망원역 2번출구 앞,주말,5,58
103,103. 망원역 2번출구 앞,주말,6,52
103,103. 망원역 2번출구 앞,주말,7,192
103,103. 망원역 2번출구 앞,주말,8,145
103,103. 망원역 2번출구 앞,주말,9,190
103,103. 망원역 2번출구 앞,주말,10,327
103,103. 망원역 2번출구 앞,주말,11,385
103,103. 망원역 2번출구 앞,주말,12,500
103,103. 망원역 2번출구 앞,주말,13,587
103,103. 망원역 2번출구 앞,주말,14,655
103,103. 망원역 2번출구 앞,주말,15,738
103,103. 망원역 2번출구 앞,주말,16,808
103,103. 망원역 2번출구 앞,주말,17,733
103,103. 망원역 2번출구 앞,주말,18,739
103,103. 망원역 2번출구 앞,주말,19,767
103,103. 망원역 2번출구 앞,주말,20,577
103,103. 망원역 2번출구 앞,주말,21,451
103,103. 망원역 2번출구 앞,주말,22,349
103,103. 망원역 2번출구 앞,주말,23,248
103,103. 망원역 2번출구 앞,평일,0,657
103,103. 망원역 2번출구 앞,평일,1,461
103,103. 망원역 2번출구 앞,평일,2,282
103,103. 망원역 2번출구 앞,평일,3,168
103,103. 망원역 2번출구 앞,평일,4,85
103,103. 망원역 2번출구 앞,평일,5,135
103,103. 망원역 2번출구 앞,평일,6,103
103,103. 망원역 2번출구 앞,평일,7,436
103,103. 망원역 2번출구 앞,평일,8,517
103,103. 망원역 2번출구 앞,평일,9,756
103,103. 망원역 2번출구 앞,평일,10,712
103,103. 망원역 2번출구 앞,평일,11,593
103,103. 망원역 2번출구 앞,평일,12,838
103,103. 망원역 2번출구 앞,평일,13,873
103,103. 망원역 2번출구 앞,평일,14,962
103,103. 망원역 2번출구 앞,평일,15,1089
103,103. 망원역 2번출구 앞,평일,16,1244
103,103. 망원역 2번출구 앞,평일,17,1414
103,103. 망원역 2번출구 앞,평일,18,1913
103,103. 망원역 2번출구 앞,평일,19,1699
103,103. 망원역 2번출구 앞,평일,20,1358
103,103. 망원역 2번출구 앞,평일,21,1133
103,103. 망원역 2번출구 앞,평일,22,921
103,103. 망원역 2번출구 앞,평일,23,697
104,104. 합정역 1번출구 앞,주말,0,152
104,104. 합정역 1번출구 앞,주말,1,114
104,104. 합정역 1번출구 앞,주말,2,98
104,104. 합정역 1번출구 앞,주말,3,67
104,104. 합정역 1번출구 앞,주말,4,54
104,104. 합정역 1번출구 앞,주말,5,16
104,104. 합정역 1번출구 앞,주말,6,10
104,104. 합정역 1번출구 앞,주말,7,11
104,104. 합정역 1번출구 앞,주말,8,43
104,104. 합정역 1번출구 앞,주말,9,89
104,104. 합정역 1번출구 앞,주말,10,131
104,104. 합정역 1번출구 앞,주말,11,183
104,104. 합정역 1번출구 앞,주말,12,229
104,104. 합정역 1번출구 앞,주말,13,297
104,104. 합정역 1번출구 앞,주말,14,298
104,104. 합정역 1번출구 앞,주말,15,358
104,104. 합정역 1번출구 앞,주말,16,404
104,104. 합정역 1번출구 앞,주말,17,386
104,104. 합정역 1번출구 앞,주말,18,360
104,104. 합정역 1번출구 앞,주말,19,272
104,104. 합정역 1번출구 앞,주말,20,253
104,104. 합정역 1번출구 앞,주말,21,244
104,104. 합정역 1번출구 앞,주말,22,190
104,104. 합정역 1번출구 앞,주말,23,143
104,104. 합정역 1번출구 앞,평일,0,259
104,104. 합정역 1번출구 앞,평일,1,200
104,104. 합정역 1번출구 앞,평일,2,152
104,104. 합정역 1번출구 앞,평일,3,131
104,104. 합정역 1번출구 앞,평일,4,83
104,104. 합정역 1번출구 앞,평일,5,45
104,104. 합정역 1번출구 앞,평일,6,38
104,104. 합정역 1번출구 앞,평일,7,208
104,104. 합정역 1번출구 앞,평일,8,728
104,104. 합정역 1번출구 앞,평일,9,510
104,104. 합정역 1번출구 앞,평일,10,401
104,104. 합정역 1번출구 앞,평일,11,490
104,104. 합정역 1번출구 앞,평일,12,662
104,104. 합정역 1번출구 앞,평일,13,680
104,104. 합정역 1번출구 앞,평일,14,682
104,104. 합정역 1번출구 앞,평일,15,616
