대여소번호,대여소명,전체이용건수,최초관측일,최종관측일,출근시간비중,퇴근시간비중,주말비중,심야비중,자치구,상세주소,위도,경도,설치일,거치대수,운영방식,관측일수,일평균이용건수,거치대당일평균이용건수,일평균이용건수점수,출근시간비중점수,퇴근시간비중점수,주말비중점수,거치대당일평균이용건수점수,동일가중치점수,집중운영점수,우선관리등급,군집
3934,3934. 철도교통관제센터 정문 앞,23348,2025-06-01,2026-06-30,0.3889412369367826,0.4624807264005482,0.23766489635086516,0.018545485694706185,구로구,구로구 구로동 685,37.49708176,126.87788391,2023-03-27 00:00:00,7.0,QR,395,59.10886075949367,8.444122965641954,5,5,5,2,5,22,4.7,집중,1
1851,1851. 가산디지털단지 9번출구 인근,27458,2025-06-01,2026-06-30,0.3159370675213053,0.3478403379707189,0.1462597421516498,0.09709374317138902,금천구,서울특별시 금천구 벚꽃로 309,37.48123169,126.88148499,2018-02-26 11:42:20,10.0,LCD,395,69.51392405063291,6.951392405063291,5,5,5,1,5,21,4.6,집중,1
6058,6058. 시청역 2번출구,34914,2025-06-01,2026-06-30,0.2752763934238414,0.33946267972733,0.14782035859540585,0.12152718107349487,중구,중구 세종대로 101,37.56653976,126.97684479,2024-04-26 00:00:00,10.0,QR,395,88.38987341772152,8.838987341772151,5,5,5,1,5,21,4.6,집중,1
3219,3219.영등포역 1번출구,43185,2025-06-01,2026-06-30,0.1908996179228899,0.35294662498552737,0.2557832580757207,0.1645710316081973,영등포구,청구로 64,37.5148468,126.9077301,2020-03-04 00:00:00,10.0,QR,395,109.32911392405063,10.932911392405064,5,4,5,3,5,22,4.55,집중,1
2622,2622. 올림픽공원역 3번출구,79556,2025-06-01,2026-06-30,0.15868067776157674,0.35030670219719445,0.3084493941374629,0.14107044094725726,송파구,송파구 방이동 89-28,37.51625824,127.13059235,2018-11-14 00:00:00,20.0,LCD,395,201.40759493670885,10.070379746835442,5,3,5,5,5,23,4.5,집중,1
1906,1906. 신도림역 1번 출구 앞,59498,2025-06-01,2026-06-30,0.23383979293421628,0.3652055531278362,0.2244949410064204,0.12617230831288448,구로구,서울특별시 구로구 경인로 688,37.50971985,126.89009857,2017-05-11 11:16:25,20.0,LCD,395,150.6278481012658,7.531392405063291,5,4,5,2,5,21,4.45,집중,1
1911,1911. 구로디지털단지역 앞,70484,2025-06-01,2026-06-30,0.1938737869587424,0.3455110379660632,0.21644628568185686,0.20218773054877703,구로구,서울특별시 구로구 시흥대로 577-2,37.48493958,126.90132141,2017-05-11 11:20:22,18.0,LCD,395,178.44050632911393,9.913361462728552,5,4,5,2,5,21,4.45,집중,1
4484,4484. 잠실나루역4번출구뒤,26660,2025-06-01,2026-06-30,0.2099774943735934,0.3562640660165041,0.23882220555138783,0.14857464366091522,송파구,신천동15,37.52080917,127.10362244,2021-01-04 00:00:00,10.0,QR,395,67.49367088607595,6.7493670886075945,5,4,5,2,5,21,4.45,집중,1
585,585. 성수2가1동 공영주차장 인근,52416,2025-06-01,2026-06-30,0.19707722832722832,0.3023695054945055,0.2741338522588523,0.158501221001221,성동구,서울특별시 성동구 성수동2가 569-3 성수2가1동 공영주차장 인근,37.53680801,127.05548859,2016-09-02 11:00:00,9.0,QR,395,132.6987341772152,14.744303797468355,5,4,4,4,5,22,4.4,집중,1
203,203. 국회의사당역 3번출구 옆,27427,2025-06-01,2026-06-30,0.27556787107594705,0.36391147409487,0.10318299485908047,0.0726656214678966,영등포구,서울특별시 영등포구 국회대로 지하758,37.5280571,126.91870117,2015-09-17 15:07:26,15.0,QR,395,69.43544303797468,4.629029535864978,5,5,5,1,4,20,4.4,집중,2
2715,2715.마곡나루역 2번 출구 ,173645,2025-06-01,2026-06-30,0.2312188660773417,0.351193527023525,0.2015952086152783,0.13795387140430188,강서구,강서구 마곡중앙5로 6 ,37.56692505,126.82743835,2020-05-27 00:00:00,25.0,QR,395,439.60759493670884,17.584303797468355,5,4,5,1,5,20,4.35,집중,1
2721,2721.등촌1-10단지 교차로,62188,2025-06-01,2026-06-30,0.2743937737184023,0.29782273107351903,0.18985978002186918,0.1572168263973757,강서구,강서구 강서로 419,37.56320572,126.8393631,2020-03-15 00:00:00,12.0,QR,395,157.4379746835443,13.119831223628692,5,5,4,1,5,20,4.35,집중,1
1946,1946. 구로역 광장,33888,2025-06-01,2026-06-30,0.21576959395656278,0.36027502360717656,0.17802762039660056,0.1670207743153919,구로구,서울특별시 구로구 구로중앙로 174,37.50311661,126.88038635,2017-06-22 13:39:16,10.0,LCD,395,85.79240506329114,8.579240506329114,5,4,5,1,5,20,4.35,집중,1
5052,5052. 마곡역 7번출구,66948,2025-06-01,2026-06-30,0.22374081376590788,0.357202605006871,0.18445659317679394,0.11054848539164724,강서구,강서구 마곡동 798,37.55974579,126.8243866,2021-07-14 00:00:00,25.0,QR,395,169.4886075949367,6.779544303797468,5,4,5,1,5,20,4.35,집중,1
2728,2728.마곡나루역 3번 출구,121698,2025-06-01,2026-06-30,0.21142500287597166,0.363744679452415,0.1618021660175188,0.24581340695820802,강서구,강서구 마곡동 372-23,37.56580353,126.82807922,2020-03-12 00:00:00,55.0,QR,395,308.0962025316456,5.601749136939011,5,4,5,1,5,20,4.35,집중,1
2701,2701. 마곡나루역 5번출구 뒤편,114953,2025-06-01,2026-06-30,0.37326559550424954,0.30775186380520736,0.1439979817838595,0.08256417840334745,강서구,강서구 마곡동 761-5,37.56520081,126.82731628,2018-11-14 00:00:00,26.0,LCD,395,291.02025316455695,11.193086660175267,5,5,4,1,5,20,4.35,집중,1
4561,4561. 양평역 1번출구,49418,2025-06-01,2026-06-30,0.27912906228499734,0.30606256829495326,0.20027115625885306,0.1466064996559958,영등포구,영등포구 양평동3가 22-1,37.52572632,126.88600159,2021-05-17 00:00:00,10.0,QR,395,125.10886075949367,12.510886075949367,5,5,4,1,5,20,4.35,집중,1
5064,5064. 양천향교역8번출구,30120,2025-06-01,2026-06-30,0.2641102257636122,0.30401726427622844,0.18964143426294822,0.16686586985391766,강서구,강서구 마곡동 776,37.56902695,126.8398819,2021-09-27 00:00:00,15.0,QR,395,76.25316455696202,5.083544303797468,5,5,4,1,5,20,4.35,집중,1
415,415. DMC역 9번출구 앞,33134,2025-06-01,2026-06-30,0.22496529244884408,0.3516629444075572,0.1612241202390294,0.16653588458984728,마포구,서울특별시 마포구 성암로 지하184,37.57746887,126.89736176,2015-10-07 11:43:11,10.0,QR,395,83.88354430379746,8.388354430379746,5,4,5,1,5,20,4.35,집중,1
529,529. 장한평역 8번 출구 앞,60925,2025-06-01,2026-06-30,0.27481329503487895,0.3007139926138695,0.17145670906852686,0.15000410340582684,성동구,서울특별시 성동구 용답동 224-3 장안평역 8번 출구 앞,37.56137085,127.06365967,2016-06-29 12:00:00,8.0,QR,395,154.2405063291139,19.28006329113924,5,5,4,1,5,20,4.35,집중,1
508,508. 성수아카데미타워 앞,57587,2025-06-01,2026-06-30,0.2701998714987758,0.32522965252574365,0.15944570823276086,0.0961501727820515,성동구,서울특별시 성동구 성수이로 118 라성아카데미타워 앞,37.54516602,127.05751038,2015-10-07 11:51:33,10.0,QR,395,145.7898734177215,14.578987341772152,5,5,4,1,5,20,4.35,집중,1
4559,4559. 신길역 2번출구,23568,2025-06-01,2026-06-30,0.21036999321113375,0.32026476578411406,0.2528852681602172,0.1778682959945689,영등포구,영등포구 신길동 42-7 ,37.51756287,126.91698456,2021-05-18 00:00:00,10.0,QR,395,59.665822784810125,5.966582278481012,5,4,4,3,5,21,4.3,집중,1
247,247. 당산역 10번출구 앞,67725,2025-06-01,2026-06-30,0.15057954964931708,0.37114802510151346,0.24565522332964193,0.17070505721668514,영등포구,서울특별시 영등포구 당산동5가 14-4,37.53342056,126.90223694,2016-06-29 12:00:00,14.0,QR,395,171.45569620253164,12.246835443037975,5,3,5,3,5,21,4.3,집중,1
1908,1908. 해원리바파크 육교 밑,35460,2025-06-01,2026-06-30,0.3045121263395375,0.2937112239142696,0.2455442752397067,0.12583192329385223,구로구,서울특별시 구로구 구일로 110,37.49528503,126.87216187,2017-05-11 11:18:43,12.0,LCD,395,89.77215189873418,7.481012658227848,5,5,3,3,5,21,4.3,집중,1
3772,3772. 길성그랑프리텔아파트,37772,2025-06-01,2026-06-30,0.2450492428253733,0.2719474743196018,0.24361961241130997,0.1667637403367574,강서구,방화대로319,37.5692482,126.81650543,2020-11-09 00:00:00,15.0,QR,395,95.62531645569621,6.375021097046414,5,5,3,3,5,21,4.3,집중,1
3780,3780. 등촌서광아파트,49309,2025-06-01,2026-06-30,0.25222576000324487,0.267030359569247,0.2413960940193474,0.1761747348354256,강서구,공항대로45길68-6,37.55755234,126.85625458,2020-11-11 00:00:00,22.0,QR,395,124.83291139240507,5.674223245109321,5,5,3,3,5,21,4.3,집중,1
1912,1912. 한신휴아파트 앞,26443,2025-06-01,2026-06-30,0.2466815414287335,0.277237832318572,0.24331581136784783,0.18057709034527095,구로구,서울특별시 구로구 디지털로31길 120,37.48880005,126.89066315,2017-05-11 11:21:27,13.0,LCD,395,66.94430379746835,5.149561830574489,5,5,3,3,5,21,4.3,집중,0
1226,1226. 잠실4동 주민센터 옆,31070,2025-06-01,2026-06-30,0.2488574187318957,0.26700997747022853,0.24551013839716768,0.10492436433859029,송파구,서울특별시 송파구 올림픽로35길 16,37.52007675,127.11236572,2017-06-27 13:38:58,10.0,LCD,395,78.65822784810126,7.865822784810126,5,5,3,3,5,21,4.3,집중,1
1264,1264. 천호역 10번 출구 앞,40738,2025-06-01,2026-06-30,0.161789974961952,0.35956600716775494,0.24625656635082724,0.16716579115322303,송파구,서울특별시 송파구 풍납동 490-16,37.53858185,127.12280273,2017-11-01 16:00:00,8.0,LCD,395,103.13417721518988,12.891772151898735,5,3,5,3,5,21,4.3,집중,1
1996,1996. 구일역 1번 출입구 앞,25188,2025-06-01,2026-06-30,0.190924249642687,0.32495632841035416,0.29716531681753217,0.18004605367635382,구로구,구로구 구로동 642-77,37.49539948,126.87100983,2018-10-31 00:00:00,20.0,LCD,395,63.767088607594935,3.188354430379747,5,4,4,5,4,22,4.3,집중,3
2608,2608. 송파구청,79455,2025-06-01,2026-06-30,0.11664464162104336,0.38081933169718707,0.28538166257630104,0.12284941161663834,송파구,송파구 올림픽로 326,37.5150528,127.10626984,2018-11-12 00:00:00,10.0,QR,395,201.15189873417722,20.115189873417723,5,2,5,5,5,22,4.25,집중,1
502,502. 자양(뚝섬한강공원)역 1번출구 앞,88882,2025-06-01,2026-06-30,0.13305281159289845,0.3524335636011791,0.3245876555433046,0.2299003172745888,광진구,서울특별시 광진구 능동로 10 뚝섬유원지역 1번출구 앞,37.53186035,127.06719208,2015-10-07 11:47:15,33.0,QR,395,225.01772151898734,6.818718833908707,5,2,5,5,5,22,4.25,집중,1
4535,4535. 목동12단지 아파트,35650,2025-06-01,2026-06-30,0.2775596072931276,0.23200561009817672,0.28426367461430574,0.11180925666199158,양천구,"양천구 목동동로 50
(관리동 앞)",37.51412201,126.86040497,2021-11-09 00:00:00,10.0,QR,395,90.25316455696202,9.025316455696203,5,5,2,5,5,22,4.25,집중,1
272,272. 당산육갑문,67379,2025-06-01,2026-06-30,0.11304709182386204,0.36630107303462506,0.32447795307143174,0.24457175084225055,영등포구,서울특별시 영등포구 당산로52길 3,37.53533936,126.90367889,2016-07-06 12:00:00,20.0,LCD,395,170.57974683544305,8.528987341772153,5,2,5,5,5,22,4.25,집중,1
3205,3205.문래현대2차,26729,2025-06-01,2026-06-30,0.2672378315687081,0.24119869804332372,0.287029069549927,0.12843727786299525,영등포구,영등포구 선유서로13길 6,37.5202179,126.882164,2020-03-04 00:00:00,10.0,QR,395,67.66835443037975,6.766835443037975,5,5,2,5,5,22,4.25,집중,1
786,786.목동아파트 8단지 상가동 앞,29591,2025-06-01,2026-06-30,0.21293636578689468,0.2727518502247305,0.2828900679260586,0.15322226352607213,양천구,양천구 목동서로 280,37.52007294,126.86830139,2020-03-18 00:00:00,9.0,QR,395,74.91392405063291,8.323769338959213,5,4,3,5,5,22,4.25,집중,1
731,731. 서울시 도로환경관리센터,38340,2025-06-01,2026-06-30,0.11335419926969223,0.357642149191445,0.3023735002608242,0.16705790297339593,양천구,서울특별시 양천구 목동동로 316-6,37.5298996,126.87654114,2017-11-01 16:00:00,10.0,LCD,395,97.0632911392405,9.70632911392405,5,2,5,5,5,22,4.25,집중,1
